id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_ascii
7489678,1br pool view near bts & jj market,39224521,sakkarin,Chatu Chak,13.83431,100.5793,Entire home/apt,1200,2,0,,,1,363,0,True
8479452,cozy 1 bd near onnuch bts station,40698085,kongkom,Khlong Toei,13.70252,100.59263,Entire home/apt,1200,1,0,,,4,355,0,True
7499740,park origin phrom phong,35517787,william,Khlong Toei,13.72612,100.56774,Entire home/apt,5000,30,1,2022-03-30,0.11,1,346,1,True
7500734,five bedrooms ensuite bangkok downtown duplex/loft,30262097,dr. supot,Vadhana,13.74679,100.55888,Entire home/apt,14331,2,216,2022-12-18,2.92,15,118,39,True
8109763,condolette pixel sathorn,24274673,nui arthit,Yan na wa,13.71729,100.54998,Private room,700,2,35,2022-11-08,0.51,1,87,3,True
8479948,amazin 1 bd near onnuch bts station,40698085,kongkom,Khlong Toei,13.70443,100.59282,Entire home/apt,1200,1,1,2015-12-30,0.01,4,362,0,True
8480649,convenience home@seacon square,44399116,porsche,Pra Wet,13.6978,100.65154,Private room,2944,1,0,,,1,365,0,True
8498255,"regent home 22, sukhumvit 85, bts onnut with wi-fi",44593269,sirikorn,Phra Khanong,13.7048,100.60934,Entire home/apt,414,2,6,2022-12-23,0.09,1,289,2,True
8117871,great location 1 bed condo near mrt,42737012,padasinee,Ratchathewi,13.74968,100.551,Private room,3800,1,0,,,2,365,0,True
7505139,"suanplu soi 8 ,sathorn, bangkok",426719,parisa,Sathon,13.71997,100.54038,Entire home/apt,1200,30,1,2016-02-02,0.01,1,0,0,True
7505492,หมู่บ้านเพอร์เฟคพาร์ค สุวรรณภูมิ,39317444,itsaree,Min Buri,13.79294,100.74108,Entire home/apt,3000,1,0,,,1,365,0,False
8507929,"6people,bts frontdoor,siam,platinum",40262107,patty,Ratchathewi,13.75062,100.5315,Entire home/apt,1643,7,270,2022-12-14,3.13,39,65,12,True
